Aspest,Elevation,Slope,MAP,Distance to Roads,Distance to Faults,Distance to Rivers,NDVI,Lithology
-0.003278712,-0.0207426,0.032516675815085896,-0.016728127,-0.018555049,-0.000802654,-0.001112135,0.18403946518893793,0.0014416998890711056
0.0016543552115426399,-0.007714863,0.01524001561130675,0.0428949543779338,-0.026065031,-0.00057513,-0.003881726,-0.19338239,-0.003865049
-0.013553594,0.03582408847686935,0.017928821846765114,-0.00040349,0.04382469797352995,0.000225662335378506,-0.000652664,0.14071360164049532,0.003109686333967585
0.007597089677985081,0.023105838461063805,-0.07125455,-0.005475923,0.04218950443034235,-0.000430196,-0.000616993,0.11359329230827579,-0.001746023
0.015452184048406408,0.02520336024537441,0.02691712943496446,0.022978557216167643,0.031541242928793144,-0.000119276,-0.000639743,0.14573691351936327,0.0005708228552518413
-0.014117988,0.02748815635818931,0.025145949368507253,-0.0025276,-0.019663889,-0.000302165,-0.001172533,0.152947657092303,0.0012653414841098801
-0.016090782,0.04010985262033522,0.036374209955891454,0.004595608197368174,0.016771194218620472,-0.000135707,-0.000573517,0.11415224641461826,0.0006003192610249688
-0.011795925,-0.028575948,0.0018172958033608804,-0.01922249,-0.020085637,-0.000435032,-0.000944506,0.1620295738608138,0.002446021992022094
0.017570736917253357,-0.083201632,-0.097255532,-0.020781841,0.07412337885874043,0.00465000356669113,-0.001979184,0.033757367840887814,0.010105914937047092
-0.011118387,-0.019302087,-0.083171635,-0.03606337,-0.028380774,-2.79E-05,-0.003334221,0.006195096117045394,0.0009145425381616181
0.0015371895795375297,-0.024268424,0.010153172913313812,-0.001836556,-0.019805994,-0.000758135,-0.004391901,-0.191951818,0.0013718400203125219
-0.006377589,0.002608244742885213,0.01319455925741496,-0.02250186,-0.037078083,-0.000713513,-0.005032713,-0.229962095,0.006788324603931291
0.0057797989126586406,0.028054381504106076,0.014173000146345182,-0.021154374,-0.028705166,0.0022745796878088846,-0.004832791,-0.214729177,0.0018417309635378799
-0.000762757,0.02821690288704621,0.03569189461780139,-0.003256898,-0.018182176,-0.000519765,-0.001286613,0.16894906970651818,0.0035949774205820736
0.0032604021679534592,0.030147365128508553,0.01876376538392547,-0.018747062,-0.035102313,-0.000874552,-0.004445323,-0.220213488,0.0008492009691533783
0.001142067470530548,0.018285557429554677,-0.106760708,-0.001051744,-0.011858755,-0.000618394,-0.000920969,0.1328157048116156,0.0030036033856900954
-0.00126888,-0.007879514,0.002334965904675962,-0.040867805,-0.036354566,-0.000774742,-0.005010103,-0.205404474,-0.002023788
0.006395406764098068,0.034031424352398185,0.011324823986736152,0.04898426109639586,-0.025194939,-0.000302115,-0.00525909,-0.19455107,-0.002927646
-0.01826262,-0.023351298,0.022105412608090548,-0.023241498,0.09402731764994743,-0.000471234,-0.002923517,-0.060588801,-9.95E-05
0.003077751416970155,0.01680744791461271,0.03661956021771552,0.041414179253650554,-0.012544801,-0.000465136,0.010866084585614923,0.11868828523739298,0.00157767612218067
0.0014610557032294022,0.03638216728041331,-0.004852582,-0.013093546,-0.022069172,-0.000491551,-0.004767802,-0.200810823,0.0010017669035088544
0.006193859445012297,0.017659210185225444,-0.096881505,0.012115052537249526,0.06208142305055289,5.898515878182251e-05,0.03841010496674336,-0.101796233,0.002592090187753696
0.008158337348751429,0.0033298432867318963,0.013441899675890595,0.022129252396798953,-0.027420803,-0.000362555,-0.005050406,-0.194184208,-0.0018811
-0.009152632,0.022090638619595163,0.005806151516221705,-0.001552362,0.08391049493821401,-4.03E-05,-0.003675428,-0.156981898,0.005779131793767997
0.009163982773995716,0.003646678191563676,-0.082988466,0.042532118739286556,-0.021419494,-0.00010676,-0.00295734,0.10645602524417012,0.011840735831724642
0.003110891908834475,0.025759517396423025,-0.009141604,0.05380031376742848,-0.027156914,-0.000475379,-0.004349607,-0.179143719,-0.002807987
-0.003294661,-0.026794013,-0.012612134,-0.029630766,-0.027597333,-0.000671751,-0.004556093,-0.15275249,0.0026485609422552767
-0.020047151,0.03532250894053288,0.03430071853273494,-0.008937771,-0.016707452,-0.000302016,-0.00099442,0.10519479364483002,0.004941406240664774
0.004115980717584842,-0.021821697,-0.020634252,0.004490518315543813,-0.032630541,-0.00080343,-0.004102043,-0.084793556,0.0036047408577412447
0.00903259715676151,0.004132188917245251,-0.016862175,0.04379297387113173,0.06913078207920761,-7.60E-05,-0.001970279,-0.064477317,0.0011269699805675811
0.0062979335103912,0.01859982434343706,-0.214048085,0.012528460335361228,-0.006895058,-0.000428556,-0.002925442,0.09774354598501443,0.005817125309289918
-0.009914364,-0.091716529,0.019889068740012755,-0.031598389,-0.031371849,-0.00079689,-0.004201476,-0.086562965,0.002874701424673434
0.0008726989531199691,0.031770049623749734,-0.004388986,0.01665840933893497,0.01821557009916799,-0.002521205,-0.001350383,0.07196456335850686,0.006160939037634243
0.010117340152402109,0.022801108271066153,0.02293938596917969,0.005400974807697166,-0.0308814,-0.000438371,-0.005165171,-0.185468331,0.0004870741798314558
0.023700999061548326,-0.090288954,-0.075964704,-0.018038089,0.08535831998706166,-0.001428389,-0.004222031,0.014278484774316785,-0.000561428
-0.006517875,0.03168638080990426,0.01878112201375675,0.031729386659993045,-0.025052869,-0.000376739,-0.004834199,-0.153887002,-0.00257247
-0.015149974,-0.007900398,0.036996112989856535,0.04825417839112649,0.011448108214222022,-0.000165616,0.0071592282690210885,0.06988574713240128,0.005562643487234635
0.002464893437415674,-0.088750882,0.011255865752687454,0.01576814432055465,-0.027806117,-0.000395314,-0.005022776,-0.193326807,0.0004867674372074469
-0.016055396,0.03699134611781983,0.0374791177328597,-0.000712524,-0.016118478,-0.000580667,-0.000765844,0.12518916918393097,0.0020820876425085393
0.008954338222159141,0.031195188935407476,0.014896576861419856,-0.028408255,-0.018967372,-0.000551474,-0.005108866,-0.218618285,0.000937009682247527
0.000279473385583283,0.035578362861998135,0.03087364011094698,0.025838214127626054,-0.013311482,-0.000445699,-0.001250531,0.09490358073127379,0.002566440535250955
-0.010362084,0.02699364830399247,0.019001910694964923,0.027528027468304943,-0.015185804,-0.000453704,-0.001346161,0.14707284297679343,0.004069086491842081
0.02152751733462934,0.026568887969094828,0.035580073170645814,0.02277286433404475,-0.01553468,-2.04E-05,-0.001043705,0.17049953119291938,0.0032179235334214807
0.0005801859919351573,0.03155553302307877,0.03864388788312285,0.01370690704932385,0.03696125358471101,0.00011967421107976057,0.009897765279927025,0.08448970517185711,0.008826175117617735
0.0018597649872552334,0.026840734378210978,0.02199182675302946,-0.025395148,0.06329769634993088,0.0002929915278166315,-0.001725226,0.013289971280424423,-0.001383552
0.0017462751937390548,-0.051779739,-0.138110663,-0.00462603,0.051849714063847196,0.004442639822199125,-0.002597219,0.07181851962974854,0.00657446115911758
-0.003036803,0.015538835237408828,0.017255108875579298,0.030539472477805557,-0.02836123,-0.000643912,-0.004878804,-0.207359776,-0.00332689
0.009544732739751155,0.014348633345098213,0.009104327525314898,0.083899532826485,-0.027666226,-0.000570347,-0.00311975,-0.155548907,0.003578600142299095
-0.013844424,0.03907687550311483,0.03239435253590944,-0.022411103,-0.017702614,-0.000390113,-0.001189416,0.11406094979206195,0.009994601068568467
-0.000107984,0.026632680095575775,-0.003898996,0.001457422391225929,-0.025576785,-0.000694937,-0.005386562,-0.157770731,0.002791336432142511
0.01100977619300524,0.013317820241341581,-0.028172723,0.0335038569186968,0.03513283488336714,-0.000190335,0.009903062517449046,0.05931907427830628,0.002001558747268526
0.007262895113725029,0.016939484868809352,-0.036411585,-0.005628981,-0.035809538,0.006577557021050745,-0.004260005,-0.061028431,-0.002314543
0.0010622197136335135,0.022971939994347823,0.016631256507408886,-0.021508225,-0.034018215,-0.000730281,-0.004384208,-0.20706465,0.0006520327892260666
-0.006120448,-0.03122335,-0.040618412,-0.016150111,-0.015167796,-0.000963525,-0.000738068,0.1633448670924932,0.0031131486422925074
-0.014312903,0.020933926785238758,0.024152140321172275,-0.003591339,-0.033946811,-0.000502408,-0.004338589,-0.082061419,-0.000346122
0.00464402601909445,0.021619109542262323,0.007292411505245519,0.0009764435127815531,-0.031124977,-0.000358329,-0.005140596,-0.203712686,0.002061954198811844
0.008630010461022453,0.0174832586579829,0.022039366639308514,0.06467281241486446,-0.021023614,-0.000530801,0.03476609049998897,-0.131538759,0.004347294648285373
0.0012159600972026638,0.023514331287697154,0.020851852269724726,-0.006952181,-0.03710029,-0.000344682,-0.004280718,-0.087292045,-0.001312682
-0.015051528,0.038926675970866034,-0.031715048,-0.011458992,-0.021209556,9.261823446562243e-05,-0.002250046,0.0351853013703145,0.0018106764651838157
0.007137285012079461,0.019478031708111788,0.018214810698833704,0.024557498037059988,0.04044361247414442,0.00010808838311163934,-0.003811866,-0.174751384,-0.004970314
-0.003237615,0.016870995647247738,-0.011799098,0.05438804846997191,-0.015228711,-0.000484249,-0.000892035,0.11375165670891063,0.0011774015005627508
0.005377207461518842,-0.016256843,0.012528459639270222,0.01798697401550339,-0.026175387,-0.000548007,-0.004503044,-0.188418248,0.0025168467008154605
0.00661213148687998,0.014750093513094819,0.013248368461311796,-0.025504832,-0.033879363,-0.000960963,-0.004510487,-0.22271571,0.0007290012358489257
