Aspest,Elevation,Slope,MAP,Distance to Roads,Distance to Faults,Distance to Rivers,NDVI,Lithology,label
37.0928001,1838,12.0882998,794.5300293,4,0,0,0.238718,4,1
39.144001,1655,34.7237015,788.184021,4,3,0,0.310881,3,0
74.6784973,950,32.2416992,909.5939941,0,0,0,0.331188,4,0
312.8789978,1183,9.04603,940.2839966,0,0,0,0.571603,2,1
201.0379944,1641,3.32143,805.3859863,0,0,3,0.284224,2,1
147.2460022,1082,37.8772011,952.0339966,0,0,0,0.466217,4,0
337.3800049,2452,23.4286995,1244.979981,0,0,0,0.582175,4,0
99.865799,1613,11.0089998,966.8300171,0,0,0,0.190942,2,1
122.5299988,1271,32.1138,960.8930054,0,0,0,0.401675,2,0
97.7835999,1750,30.3085003,1146.050049,0,0,0,0.536083,4,0
152.4470062,1765,12.1988001,812.6469727,1,1,0,0.326919,2,1
185.598999,1552,23.1243,995.8880005,4,0,0,0.448226,2,0
112.586998,1708,48.4473991,802.5109863,4,0,0,0.517986,2,1
199.322998,1721,18.7772999,1267.51001,0,0,0,0.225611,2,1
208.9089966,1896,17.6877995,759.3410034,0,0,3,0.519752,4,0
312.2070007,1768,13.5977001,845.9769897,1,0,2,-0.0654724,2,0
278.1300049,1746,14.8511,906.2230225,4,0,0,0.478795,2,0
344.0549927,2122,3.47174,1320.979981,0,0,0,0.630881,2,0
265.1010132,2076,16.3167,865.2080078,0,0,0,0.326937,2,1
34.3802986,1485,25.6233006,1175.660034,0,0,4,0.536132,2,0
168.4250031,1582,19.4437008,971.0120239,0,0,0,0.203203,2,1
245.2250061,1866,13.4215002,792.1049805,0,0,0,0.309406,4,0
357.4360046,1753,29.2005005,863.7709961,2,0,0,0.437313,4,0
231.7890015,1687,13.9949999,863.7800293,0,0,0,0.53843,2,0
208.6100006,682,5.96102,893.0289917,4,0,4,0.386924,3,1
129.897995,2003,18.3297997,776.5269775,0,0,0,0.466268,4,0
280.6199951,1901,15.1796999,818.5700073,2,0,0,0.168177,2,1
286.8580017,1927,16.0319996,826.5759888,4,2,0,0.164998,2,0
39.2893982,1919,13.3264999,793.552002,0,0,0,0.477488,3,0
97.6507034,1388,29.3946991,848.5579834,0,0,0,0.337788,2,0
45,1316,22.4151001,970.6970215,0,0,0,0.545244,2,0
219.6849976,1497,14.2771997,685.5650024,0,0,1,0.0995783,2,0
226.6849976,1678,11.3338003,1062.479981,0,0,0,0.465783,2,0
61.6991997,1854,34.0870018,800.3950195,3,0,0,0.462687,1,1
207.4459991,1689,31.2021999,1100.680054,0,0,0,0.583632,2,0
18.4349003,2004,5.26966,793.8939819,0,0,0,0.503302,4,0
108.4349976,1688,7.5061402,792.5239868,0,1,0,0.341543,2,1
255.9640045,1599,1.96786,1003.969971,4,0,4,0.239464,2,0
232.352005,2110,20.2220993,1012.299988,0,0,0,0.387472,4,1
148.298996,1951,18.4188004,1234.469971,0,0,0,0.668485,2,0
219.897995,1868,33.5280991,809.6779785,1,2,0,0.364096,2,0
133.1820068,2294,20.3759003,915.8759766,0,0,0,0.241844,2,1
155.7460022,2258,22.5811996,1178.839966,0,0,0,0.587319,2,1
12.2952995,1587,33.634201,1016.400024,0,0,0,0.595611,2,0
45.8814011,628,20.9598999,887.875,3,1,0,0.382277,3,0
119.2679977,1466,23.4923,735.5390015,0,0,3,0.193143,2,1
260.7070007,1306,13.0732002,1023.859985,0,0,0,0.45932,2,0
208.6860046,1963,14.1295004,803.2249756,2,0,0,0.41322,2,0
98.4348984,1901,47.9281998,876.4520264,0,0,0,0.552005,2,0
275.2900085,2454,24.3194008,1227.560059,0,0,0,0.636494,2,0
327.723999,1126,20.5328007,1072.939941,0,0,3,0.479279,2,1
45,1668,8.3801899,1239.180054,0,0,0,0.121125,2,1
218.5579987,1907,20.1863995,874.5100098,0,0,0,0.507177,2,1
292.2489929,1205,11.2041998,997.5100098,0,0,0,0.203825,4,0
52.125,1817,31.6993008,819.9920044,2,0,0,0.273129,2,1
162.9290009,2190,28.9669991,868.7440186,0,0,0,0.332678,4,1
304.6950073,2048,7.5061402,817.6939697,0,0,0,0.468858,2,0
315,1656,0.337615,756.552002,4,0,1,0.0504646,1,0
189.904007,1200,14.9209995,724.0560303,3,0,4,0.269498,2,1
